
Device: cuda

=== Model: ConvTran ===

--- Dataset BIDMC32SpO2 ---
/home/labic/miniconda3/envs/merlin_thesis/lib/python3.12/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4322.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/labic/miniconda3/envs/merlin_thesis/lib/python3.12/site-packages/torch/nn/modules/conv.py:543: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1027.)
  return F.conv2d(
Epoch 428/2000 | Train Loss: 0.000792
Epoch 429/2000 | Train Loss: 0.000768
Epoch 430/2000 | Train Loss: 0.000618
Epoch 431/2000 | Train Loss: 0.000654
Epoch 432/2000 | Train Loss: 0.000656
Epoch 433/2000 | Train Loss: 0.000916
Epoch 434/2000 | Train Loss: 0.000650
Epoch 435/2000 | Train Loss: 0.000665
Epoch 436/2000 | Train Loss: 0.000766
Epoch 437/2000 | Train Loss: 0.000800
Epoch 438/2000 | Train Loss: 0.000670
Epoch 439/2000 | Train Loss: 0.000672
Epoch 440/2000 | Train Loss: 0.000697
Epoch 441/2000 | Train Loss: 0.001171
Epoch 442/2000 | Train Loss: 0.000874
Epoch 443/2000 | Train Loss: 0.000696
Epoch 444/2000 | Train Loss: 0.000945
Epoch 445/2000 | Train Loss: 0.000820
Epoch 446/2000 | Train Loss: 0.000783
Epoch 447/2000 | Train Loss: 0.000862
Epoch 448/2000 | Train Loss: 0.000750
Epoch 449/2000 | Train Loss: 0.000821
Epoch 450/2000 | Train Loss: 0.000797
Epoch 451/2000 | Train Loss: 0.000602
Epoch 452/2000 | Train Loss: 0.000783
Epoch 453/2000 | Train Loss: 0.000780
Epoch 454/2000 | Train Loss: 0.000683
Epoch 455/2000 | Train Loss: 0.000650
Epoch 456/2000 | Train Loss: 0.000675
Epoch 457/2000 | Train Loss: 0.000703
Epoch 458/2000 | Train Loss: 0.000841
Epoch 459/2000 | Train Loss: 0.000739
Epoch 460/2000 | Train Loss: 0.000780
Epoch 461/2000 | Train Loss: 0.000883
Epoch 462/2000 | Train Loss: 0.000738
Epoch 463/2000 | Train Loss: 0.000792
Epoch 464/2000 | Train Loss: 0.000669
Epoch 465/2000 | Train Loss: 0.000698
Epoch 466/2000 | Train Loss: 0.000679
Epoch 467/2000 | Train Loss: 0.000669
Epoch 468/2000 | Train Loss: 0.000707
Epoch 469/2000 | Train Loss: 0.000831
Epoch 470/2000 | Train Loss: 0.000773
Epoch 471/2000 | Train Loss: 0.000657
Epoch 472/2000 | Train Loss: 0.000857
Epoch 473/2000 | Train Loss: 0.000736
Epoch 474/2000 | Train Loss: 0.000652
Epoch 475/2000 | Train Loss: 0.000769
Epoch 476/2000 | Train Loss: 0.000566
Epoch 477/2000 | Train Loss: 0.000650
Epoch 478/2000 | Train Loss: 0.000873
Epoch 479/2000 | Train Loss: 0.000919
Epoch 480/2000 | Train Loss: 0.000701
Epoch 481/2000 | Train Loss: 0.000730
Epoch 482/2000 | Train Loss: 0.000751
Epoch 483/2000 | Train Loss: 0.000634
Epoch 484/2000 | Train Loss: 0.000804
Epoch 485/2000 | Train Loss: 0.000605
Epoch 486/2000 | Train Loss: 0.000680
Epoch 487/2000 | Train Loss: 0.000566
Epoch 488/2000 | Train Loss: 0.000594
Epoch 489/2000 | Train Loss: 0.000747
Epoch 490/2000 | Train Loss: 0.000846
Epoch 491/2000 | Train Loss: 0.000697
Epoch 492/2000 | Train Loss: 0.000653
Epoch 493/2000 | Train Loss: 0.000641
Epoch 494/2000 | Train Loss: 0.000663
Epoch 495/2000 | Train Loss: 0.000666
Epoch 496/2000 | Train Loss: 0.000713
Epoch 497/2000 | Train Loss: 0.000720
Epoch 498/2000 | Train Loss: 0.000608
Epoch 499/2000 | Train Loss: 0.000730
Epoch 500/2000 | Train Loss: 0.000667
Epoch 501/2000 | Train Loss: 0.000562
Epoch 502/2000 | Train Loss: 0.000690
Epoch 503/2000 | Train Loss: 0.000634
Epoch 504/2000 | Train Loss: 0.000653
Epoch 505/2000 | Train Loss: 0.000652
Epoch 506/2000 | Train Loss: 0.000653
Epoch 507/2000 | Train Loss: 0.000689
Epoch 508/2000 | Train Loss: 0.000736
Epoch 509/2000 | Train Loss: 0.000716
Epoch 510/2000 | Train Loss: 0.000681
Epoch 511/2000 | Train Loss: 0.000780
Epoch 512/2000 | Train Loss: 0.000787
Epoch 513/2000 | Train Loss: 0.000647
Epoch 514/2000 | Train Loss: 0.000715
Epoch 515/2000 | Train Loss: 0.000610
Epoch 516/2000 | Train Loss: 0.000890
Epoch 517/2000 | Train Loss: 0.000592
Epoch 518/2000 | Train Loss: 0.000579
Epoch 519/2000 | Train Loss: 0.000534
Epoch 520/2000 | Train Loss: 0.000797
Epoch 521/2000 | Train Loss: 0.001036
Epoch 522/2000 | Train Loss: 0.000715
Epoch 523/2000 | Train Loss: 0.000600
Epoch 524/2000 | Train Loss: 0.000596
Epoch 525/2000 | Train Loss: 0.000648
Epoch 526/2000 | Train Loss: 0.000566
Epoch 527/2000 | Train Loss: 0.000654
Epoch 528/2000 | Train Loss: 0.000496
Epoch 529/2000 | Train Loss: 0.000624
Epoch 530/2000 | Train Loss: 0.000914
Epoch 531/2000 | Train Loss: 0.000561
Epoch 532/2000 | Train Loss: 0.000633
Epoch 533/2000 | Train Loss: 0.000527
